ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
335,1670.1,00:27:50,338,302,186,262,,,,,,,,,
336,1675.1,00:27:55,338,302,186,262,,,,,,,,,
337,1680.1,00:28:00,338,302,186,262,,,,,,,,,
338,1685.1,00:28:05,338,302,186,262,,,,,,,,,
339,1690.1,00:28:10,338,302,186,262,,,,,,,,,
340,1695.1,00:28:15,338,302,186,262,,,,,,,,,
341,1700.1,00:28:20,338,302,186,262,,,,,,,,,
342,1705.1,00:28:25,338,302,186,262,,,,,,,,,
343,1710.1,00:28:30,338,302,186,262,,,,,,,,,
344,1715.1,00:28:35,338,302,186,262,,,,,,,,,
345,1720.1,00:28:40,338,302,186,262,,,,,,,,,
346,1725.1,00:28:45,338,302,186,262,,,,,,,,,
347,1730.1,00:28:50,338,302,186,262,,,,,,,,,
348,1735.1,00:28:55,338,302,186,262,,,,,,,,,
349,1740.1,00:29:00,338,302,186,262,,,,,,,,,
350,1745.1,00:29:05,338,302,186,262,,,,,,,,,
351,1750.1,00:29:10,338,302,186,262,,,,,,,,,
352,1755.1,00:29:15,338,302,186,262,,,,,,,,,
353,1760.1,00:29:20,338,302,186,262,,,,,,,,,
354,1765.1,00:29:25,338,302,186,262,,,,,,,,,
355,1770.1,00:29:30,338,302,186,262,,,,,,,,,
356,1775.1,00:29:35,338,302,186,262,,,,,,,,,
357,1780.1,00:29:40,338,302,186,262,,,,,,,,,
358,1785.1,00:29:45,338,302,186,262,,,,,,,,,
359,1790.1,00:29:50,338,302,186,262,,,,,,,,,
360,1795.1,00:29:55,338,302,186,262,,,,,,,,,
361,1800.1,00:30:00,338,302,186,262,,,,,,,,,
362,1805.1,00:30:05,338,302,186,262,,,,,,,,,
363,1810.1,00:30:10,338,302,186,262,,,,,,,,,
364,1815.1,00:30:15,338,302,186,262,,,,,,,,,
365,1820.1,00:30:20,338,302,186,262,,,,,,,,,
366,1825.1,00:30:25,338,302,186,262,,,,,,,,,
367,1830.1,00:30:30,338,302,186,262,,,,,,,,,
368,1835.1,00:30:35,338,302,186,262,,,,,,,,,
369,1840.1,00:30:40,338,302,186,262,,,,,,,,,
370,1845.1,00:30:45,338,302,186,262,,,,,,,,,
371,1850.1,00:30:50,338,302,186,262,,,,,,,,,
372,1855.1,00:30:55,338,302,186,262,,,,,,,,,
373,1860.1,00:31:00,338,302,186,262,,,,,,,,,
374,1865.1,00:31:05,338,302,186,262,,,,,,,,,
375,1870.1,00:31:10,338,302,186,262,,,,,,,,,
376,1875.1,00:31:15,338,302,186,262,,,,,,,,,
377,1880.1,00:31:20,338,302,186,272,,,,,,,,,
378,1885.1,00:31:25,338,302,186,273,,,,,,,,,
379,1890.1,00:31:30,349,302,186,273,,,,,,,,,
380,1895.1,00:31:35,349,302,186,273,,,,,,,,,
381,1900.1,00:31:40,349,302,186,273,,,,,,,,,
382,1905.1,00:31:45,349,302,186,273,,,,,,,,,
383,1910.1,00:31:50,349,302,186,273,,,,,,,,,
384,1915.1,00:31:55,349,302,186,273,,,,,,,,,
385,1920.1,00:32:00,349,302,186,273,,,,,,,,,
386,1925.1,00:32:05,349,302,186,273,,,,,,,,,
387,1930.1,00:32:10,349,302,186,273,,,,,,,,,
388,1935.1,00:32:15,349,302,186,273,,,,,,,,,
389,1940.1,00:32:20,349,302,186,273,,,,,,,,,
390,1945.1,00:32:25,349,302,186,273,,,,,,,,,
391,1950.1,00:32:30,349,302,186,273,,,,,,,,,
392,1955.1,00:32:35,349,302,186,273,,,,,,,,,
393,1960.1,00:32:40,349,302,186,273,,,,,,,,,
394,1965.1,00:32:45,349,302,186,273,,,,,,,,,
395,1970.1,00:32:50,349,302,186,273,,,,,,,,,
396,1975.1,00:32:55,349,302,186,273,,,,,,,,,
397,1980.1,00:33:00,349,302,186,273,,,,,,,,,
398,1985.1,00:33:05,349,302,186,273,,,,,,,,,
399,1990.1,00:33:10,349,302,186,273,,,,,,,,,
400,1995.1,00:33:15,349,302,186,273,,,,,,,,,
401,2000.1,00:33:20,349,302,186,273,,,,,,,,,
402,2005.1,00:33:25,349,302,186,273,,,,,,,,,
403,2010.1,00:33:30,349,302,186,273,,,,,,,,,
404,2015.1,00:33:35,349,302,186,273,,,,,,,,,
405,2020.1,00:33:40,349,302,186,273,,,,,,,,,
406,2025.1,00:33:45,349,302,186,273,,,,,,,,,
407,2030.1,00:33:50,349,302,186,273,,,,,,,,,
408,2035.1,00:33:55,349,302,186,273,,,,,,,,,
409,2040.1,00:34:00,349,302,186,273,,,,,,,,,
410,2045.1,00:34:05,349,302,186,273,,,,,,,,,
411,2050.1,00:34:10,349,302,186,273,,,,,,,,,
412,2055.1,00:34:15,349,302,186,273,,,,,,,,,
413,2060.1,00:34:20,349,302,186,273,,,,,,,,,
414,2065.1,00:34:25,349,302,186,273,,,,,,,,,
415,2070.1,00:34:30,349,302,186,273,,,,,,,,,
416,2075.1,00:34:35,349,302,186,273,,,,,,,,,
417,2080.1,00:34:40,349,302,186,273,,,,,,,,,
418,2085.1,00:34:45,349,302,186,273,,,,,,,,,
419,2090.1,00:34:50,349,302,186,273,,,,,,,,,
420,2095.1,00:34:55,349,302,186,273,,,,,,,,,
421,2100.1,00:35:00,349,302,186,273,,,,,,,,,
422,2105.1,00:35:05,349,302,186,273,,,,,,,,,
423,2110.1,00:35:10,349,302,186,273,,,,,,,,,
424,2115.1,00:35:15,349,302,186,273,,,,,,,,,
425,2120.1,00:35:20,349,302,186,273,,,,,,,,,
426,2125.1,00:35:25,349,302,186,273,,,,,,,,,
427,2130.1,00:35:30,349,302,186,273,,,,,,,,,
428,2135.1,00:35:35,349,302,186,273,,,,,,,,,
429,2140.1,00:35:40,349,302,186,273,,,,,,,,,
430,2145.1,00:35:45,349,302,186,273,,,,,,,,,
431,2150.1,00:35:50,349,302,186,273,,,,,,,,,
432,2155.1,00:35:55,349,302,186,273,,,,,,,,,
433,2160.1,00:36:00,349,302,186,273,,,,,,,,,
434,2165.1,00:36:05,349,302,186,273,,,,,,,,,
435,2170.1,00:36:10,349,302,186,273,,,,,,,,,
